Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Sistrurus catenatus,Eastern Massasauga (=rattlesnake),Wherever found,3,Threatened,Reptiles,Wisconsin,,,,,,,,,,,,,,,,,
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,Wisconsin,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,Wisconsin,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,Wisconsin,,,,,,,,,,,,,,,,,
Oarisma poweshiek,Poweshiek skipperling,Wherever found,3,Endangered,Insects,Wisconsin,,,,,,,,,,,,,,,,,
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,Wisconsin,,,,,,,,,,,,,,,,,
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,West Virginia,,,,,,,,,,,,,,,,,
Myotis grisescens,Gray bat,Wherever found,3,Endangered,Mammals,West Virginia,,,,,,,,,,,,,,,,,
Corynorhinus (=Plecotus) townsendii virginianus,Virginia big-eared bat,Wherever found,5,Endangered,Mammals,West Virginia,,,,,,,,,,,,,,,,,
Plethodon nettingi,Cheat Mountain salamander,Wherever found,5,Threatened,Amphibians,West Virginia,,,,,,,,,,,,,,,,,
Epioblasma obliquata,Purple Cat's paw (=Purple Cat's paw pearlymussel),Wherever found; Except where listed as Experimental Populations,3,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,Wherever found,4,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Parvaspina collina,James spinymussel,Wherever found,5,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Cyprogenia stegaria,Fanshell,Wherever found,4,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Epioblasma rangiana,Northern riffleshell,Wherever found,5,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Triodopsis platysayoides,Flat-spired three-toothed Snail,Wherever found,5,Threatened,Snails,West Virginia,,,,,,,,,,,,,,,,,
Antrolana lira,Madison Cave isopod,Wherever found,5,Threatened,Crustaceans,West Virginia,,,,,,,,,,,,,,,,,
Isotria medeoloides,Small whorled pogonia,,5,Threatened,Flowering Plants,West Virginia,,,,,,,,,,,,,,,,,
Scirpus ancistrochaetus,Northeastern bulrush,,5,Endangered,Flowering Plants,West Virginia,,,,,,,,,,,,,,,,,
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,West Virginia,,,,,,,,,,,,,,,,,
Ptilimnium nodosum,Harperella,Wherever found,5,Endangered,Flowering Plants,West Virginia,,,,,,,,,,,,,,,,,
Spiraea virginiana,Virginia spiraea,Wherever found,5,Threatened,Flowering Plants,West Virginia,,,,,,,,,,,,,,,,,
Boechera serotina,Shale barren rock cress,Wherever found,5,Endangered,Flowering Plants,West Virginia,,,,,,,,,,,,,,,,,
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Cambarus callainus,Big Sandy crayfish,Wherever found,5,Threatened,Crustaceans,West Virginia,,,,,,,,,,,,,,,,,
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Villosa fabalis,Rayed Bean,Wherever found,3,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Crystallaria cincotta,diamond Darter,Wherever found,5,Endangered,Fishes,West Virginia,,,,,,,,,,,,,,,,,
Plethobasus cyphyus,Sheepnose Mussel,Wherever found,3,Endangered,Clams,West Virginia,,,,,,,,,,,,,,,,,
Etheostoma osburni,Candy darter,Wherever found,5,Endangered,Fishes,West Virginia,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,West Virginia,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,West Virginia,,,,,,,,,,,,,,,,,
Bombus affinis,Rusty patched bumble bee,Wherever found,3,Endangered,Insects,West Virginia,,,,,,,,,,,,,,,,,
Obovaria subrotunda,Round hickorynut,Wherever found,3,Threatened,Clams,West Virginia,,,,,,,,,,,,,,,,,
