Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Oncorhynchus clarkii stomias,Greenback Cutthroat trout,Wherever found,6,Threatened,Fishes,Utah,,,,,,,,,,,,,,,,,
Oncorhynchus clarkii henshawi,Lahontan cutthroat trout,Wherever found,8,Threatened,Fishes,Utah,,,,,,,,,,,,,,,,,
Plagopterus argentissimus,Woundfin,"Wherever found, except where listed as an experimental population",6,Endangered,Fishes,Utah,,,,,,,,,,,,,,,,,
Gila elegans,Bonytail,Wherever found,6,Endangered,Fishes,Utah,,,,,,,,,,,,,,,,,
Gila seminuda (=robusta),Virgin River Chub,Wherever found,6,Endangered,Fishes,Utah,,,,,,,,,,,,,,,,,
Lepidomeda mollispinis pratensis,Big Spring spinedace,Wherever found,8,Threatened,Fishes,Utah,,,,,,,,,,,,,,,,,
Chasmistes liorus,June sucker,Wherever found,6,Threatened,Fishes,Utah,,,,,,,,,,,,,,,,,
Xyrauchen texanus,Razorback sucker,Wherever found,6,Endangered,Fishes,Utah,,,,,,,,,,,,,,,,,
Schoenocrambe suffrutescens,Shrubby reed-mustard,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Arctomecon humilis,Dwarf Bear-poppy,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Carex specuicola,Navajo sedge,Wherever found,2,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Cycladenia humilis var. jonesii,Jones Cycladenia,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Lepidium barnebyanum,Barneby ridge-cress,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Lesquerella tumulosa,Kodachrome bladderpod,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
"<a target=_blank"" ref=""noopener noreferrer"" href=""/ecp/species/3607"">Pediocactus (=Echinocactus=Utahia) sileri</a""",Siler pincushion cactus,Wherever found,2,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Phacelia argillacea,Clay phacelia,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Ranunculus aestivalis (=acriformis),Autumn Buttercup,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Sclerocactus wrightiae,Wright fishhook cactus,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Townsendia aprica,Last Chance townsendia,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Asclepias welshii,Welsh's milkweed,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Astragalus montii,Heliotrope milk-vetch,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Primula maguirei,Maguire primrose,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Astragalus holmgreniorum,Holmgren milk-vetch,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Pediocactus despainii,San Rafael cactus,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Pediocactus winkleri,Winkler cactus,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Schoenocrambe barnebyi,Barneby reed-mustard,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Spiranthes diluvialis,Ute ladies'-tresses,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Astragalus ampullarioides,Shivwits milk-vetch,Wherever found,6,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Schoenocrambe argillacea,Clay reed-mustard,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Speyeria nokomis nokomis,Silverspot,Wherever found,6,Threatened,Insects,Utah,,,,,,,,,,,,,,,,,
Gymnogyps californianus,California condor,"U.S.A. (specific portions of Arizona, Nevada, and Utah)",8,"Experimental Population, Non-Essential",Birds,Utah,,,,,,,,,,,,,,,,,
Gulo gulo luscus,North American wolverine,Wherever found,6,Threatened,Mammals,Utah,,,,,,,,,,,,,,,,,
Centrocercus minimus,Gunnison sage-grouse,Wherever found,6,Threatened,Birds,Utah,,,,,,,,,,,,,,,,,
Pediocactus peeblesianus ssp. fickeiseniae,Fickeisen plains cactus,Wherever found,2,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened,Birds,Utah,,,,,,,,,,,,,,,,,
Mustela nigripes,Black-footed ferret,"U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))",6,"Experimental Population, Non-Essential",Mammals,Utah,,,,,,,,,,,,,,,,,
Sclerocactus brevispinus,Pariette cactus,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Sphaeralcea gierischii,Gierisch mallow,Wherever found,2,Endangered,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Sclerocactus wetlandicus,Uinta Basin hookless cactus,Wherever found,6,Threatened,Flowering Plants,Utah,,,,,,,,,,,,,,,,,
Trichechus manatus,West Indian Manatee,Wherever found,4,Threatened,Mammals,Texas,,,,,,,,,,,,,,,,,
Canis lupus baileyi,Mexican wolf,"Wherever found, except where listed as an experimental population",2,Endangered,Mammals,Texas,,,,,,,,,,,,,,,,,
Puma yagouaroundi cacomitli,Gulf Coast jaguarundi,Wherever found,2,Endangered,Mammals,Texas,,,,,,,,,,,,,,,,,
Leopardus (=Felis) pardalis,Ocelot,wherever found,2,Endangered,Mammals,Texas,,,,,,,,,,,,,,,,,
Leptonycteris nivalis,Mexican long-nosed bat,Wherever found,2,Endangered,Mammals,Texas,,,,,,,,,,,,,,,,,
Grus americana,Whooping crane,"Wherever found, except where listed as an experimental population",2,Endangered,Birds,Texas,,,,,,,,,,,,,,,,,
Tympanuchus cupido attwateri,Attwater's greater prairie-chicken,Wherever found,2,Endangered,Birds,Texas,,,,,,,,,,,,,,,,,
Numenius borealis,Eskimo curlew,Wherever found,7,Endangered,Birds,Texas,,,,,,,,,,,,,,,,,
Picoides borealis,Red-cockaded woodpecker,Wherever found,4,Endangered,Birds,Texas,,,,,,,,,,,,,,,,,
Falco femoralis septentrionalis,Northern Aplomado Falcon,"Wherever found, except where listed as an experimental population",2,Endangered,Birds,Texas,,,,,,,,,,,,,,,,,
Strix occidentalis lucida,Mexican spotted owl,Wherever found,2,Threatened,Birds,Texas,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,Texas,,,,,,,,,,,,,,,,,
Setophaga chrysoparia,golden-cheeked warbler,Wherever found,2,Endangered,Birds,Texas,,,,,,,,,,,,,,,,,
Empidonax traillii extimus,Southwestern willow flycatcher,Wherever found,2,Endangered,Birds,Texas,,,,,,,,,,,,,,,,,
Eretmochelys imbricata,Hawksbill sea turtle,Wherever found,4,Endangered,Reptiles,Texas,,,,,,,,,,,,,,,,,
Dermochelys coriacea,Leatherback sea turtle,Wherever found,4,Endangered,Reptiles,Texas,,,,,,,,,,,,,,,,,
Lepidochelys kempii,Kemp's ridley sea turtle,Wherever found,2,Endangered,Reptiles,Texas,,,,,,,,,,,,,,,,,
Eurycea rathbuni,Texas blind salamander,Wherever found,2,Endangered,Amphibians,Texas,,,,,,,,,,,,,,,,,
Bufo houstonensis,Houston toad,Wherever found,2,Endangered,Amphibians,Texas,,,,,,,,,,,,,,,,,
Eurycea nana,San Marcos salamander,Wherever found,2,Threatened,Amphibians,Texas,,,,,,,,,,,,,,,,,
Eurycea sosorum,Barton Springs salamander,Wherever found,2,Endangered,Amphibians,Texas,,,,,,,,,,,,,,,,,
Gambusia gaigei,Big Bend gambusia,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Gambusia heterochir,Clear Creek gambusia,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Cyprinodon elegans,Comanche Springs pupfish,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Etheostoma fonticola,Fountain darter,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Gambusia nobilis,Pecos gambusia,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Cyprinodon bovinus,Leon Springs pupfish,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Dionda diaboli,Devils River minnow,Wherever found,2,Threatened,Fishes,Texas,,,,,,,,,,,,,,,,,
Notropis girardi,Arkansas River shiner,"Arkansas River Basin (AR, KS, NM, OK, TX)",2,Threatened,Fishes,Texas,,,,,,,,,,,,,,,,,
Hybognathus amarus,Rio Grande Silvery Minnow,"Wherever found, except where listed as an experimental population",2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Nicrophorus americanus,American burying beetle,"Wherever found, except where listed as an experimental population",2,Threatened,Insects,Texas,,,,,,,,,,,,,,,,,
Batrisodes texanus,Coffin Cave mold beetle,Wherever found,2,Endangered,Insects,Texas,,,,,,,,,,,,,,,,,
Texamaurops reddelli,Kretschmarr Cave mold beetle,Wherever found,2,Endangered,Insects,Texas,,,,,,,,,,,,,,,,,
Rhadine persephone,Tooth Cave ground beetle,Wherever found,2,Endangered,Insects,Texas,,,,,,,,,,,,,,,,,
Heterelmis comalensis,Comal Springs riffle beetle,Wherever found,2,Endangered,Insects,Texas,,,,,,,,,,,,,,,,,
Stygoparnus comalensis,Comal Springs dryopid beetle,Wherever found,2,Endangered,Insects,Texas,,,,,,,,,,,,,,,,,
Rhadine infernalis,[no common name] Beetle,Wherever found,2,Endangered,Insects,Texas,,,,,,,,,,,,,,,,,
Batrisodes venyivi,Helotes mold beetle,Wherever found,2,Endangered,Insects,Texas,,,,,,,,,,,,,,,,,
Rhadine exilis,[no common name] Beetle,Wherever found,2,Endangered,Insects,Texas,,,,,,,,,,,,,,,,,
Texella reddelli,Bee Creek Cave harvestman,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Texella reyesi,Bone Cave harvestman,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Tartarocreagris texana,Tooth Cave pseudoscorpion,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Tayshaneta myopica,Tooth Cave spider,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Texella cokendolpheri,Cokendolpher Cave Harvestman,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Tayshaneta microps,Government Canyon Bat Cave spider,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Cicurina madla,Madla Cave Meshweaver,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Cicurina baronia,Robber Baron Cave Meshweaver,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Cicurina vespera,Government Canyon Bat Cave meshweaver,Wherever found,2,Endangered,Arachnids,Texas,,,,,,,,,,,,,,,,,
Stygobromus (=Stygonectes) pecki,Peck's cave amphipod,Wherever found,2,Endangered,Crustaceans,Texas,,,,,,,,,,,,,,,,,
Astrophytum asterias,Star cactus,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Helianthus paradoxus,"Pecos (=puzzle, =paradox) sunflower",Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Physaria thamnophila,Zapata bladderpod,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Thymophylla tephroleuca,Ashy dogweed,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Ambrosia cheiranthifolia,South Texas ambrosia,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Sclerocactus brevihamatus ssp. tobuschii,Tobusch fishhook cactus,Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Callirhoe scabriuscula,Texas poppy-mallow,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Escobaria minima,Nellie''s cory cactus,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Coryphantha ramillosa,Bunched cory cactus,Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Coryphantha sneedii var. sneedii,Sneed pincushion cactus,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Echinocereus fendleri var. kuenzleri,Kuenzler hedgehog cactus,Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Echinocereus reichenbachii var. albertii,Black lace cactus,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Echinocereus viridiflorus var. davisii,Davis' green pitaya,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Sclerocactus mariposensis,Lloyd''s Mariposa cactus,Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Geocarpon minimum,No common name,Wherever found,4,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Hoffmannseggia tenella,Slender rush-pea,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Manihot walkerae,Walker's manioc,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Phlox nivalis ssp. texensis,Texas trailing phlox,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Potamogeton clystocarpus,Little Aguja (=Creek) Pondweed,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Quercus hinckleyi,Hinckley oak,Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Spiranthes parksii,Navasota ladies-tresses,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Styrax platanifolius ssp. texanus,Texas snowbells,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Zizania texana,Texas wild-rice,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Abronia macrocarpa,Large-fruited sand-verbena,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Cryptantha crassipes,Terlingua Creek cat's-eye,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Echinocereus chisoensis var. chisoensis,Chisos Mountain hedgehog Cactus,Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Schwalbea americana,American chaffseed,Wherever found,4,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Physaria pallida,White bladderpod,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Hymenoxys texana,Texas prairie dawn-flower,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Ayenia limitaris,Texas ayenia,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Assiminea pecos,Pecos assiminea snail,Wherever found,2,Endangered,Snails,Texas,,,,,,,,,,,,,,,,,
Leavenworthia texana,Texas golden Gladecress,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Streptanthus bracteatus,Bracted twistflower,Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Popenaias popeii,Texas Hornshell,Wherever found,2,Endangered,Clams,Texas,,,,,,,,,,,,,,,,,
Notropis oxyrhynchus,Sharpnose Shiner,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Asclepias prostrata,Prostrate milkweed,,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Pituophis ruthveni,Louisiana pinesnake,Wherever found,4,Threatened,Reptiles,Texas,,,,,,,,,,,,,,,,,
Macrhybopsis tetranema,Peppered chub,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Pseudotryonia adamantina,Diamond Tryonia,Wherever found,2,Endangered,Snails,Texas,,,,,,,,,,,,,,,,,
Pyrgulopsis texana,Phantom Springsnail,Wherever found,2,Endangered,Snails,Texas,,,,,,,,,,,,,,,,,
Tryonia circumstriata (=stocktonensis),Gonzales tryonia,Wherever found,2,Endangered,Snails,Texas,,,,,,,,,,,,,,,,,
Eurycea naufragia,Georgetown Salamander,Wherever found,2,Threatened,Amphibians,Texas,,,,,,,,,,,,,,,,,
Tryonia cheatumi,Phantom Tryonia,Wherever found,2,Endangered,Snails,Texas,,,,,,,,,,,,,,,,,
Eurycea waterlooensis,Austin blind Salamander,Wherever found,2,Endangered,Amphibians,Texas,,,,,,,,,,,,,,,,,
Gammarus pecos,Pecos amphipod,Wherever found,2,Endangered,Crustaceans,Texas,,,,,,,,,,,,,,,,,
Hibiscus dasycalyx,Neches River rose-mallow,Wherever found,2,Threatened,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Festuca ligulata,Guadalupe fescue,Wherever found,2,Endangered,Flowering Plants,Texas,,,,,,,,,,,,,,,,,
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened,Birds,Texas,,,,,,,,,,,,,,,,,
Eurycea chisholmensis,Salado Salamander,Wherever found,2,Threatened,Amphibians,Texas,,,,,,,,,,,,,,,,,
Notropis buccula,Smalleye Shiner,Wherever found,2,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Gammarus hyalleloides,Diminutive Amphipod,Wherever found,2,Endangered,Crustaceans,Texas,,,,,,,,,,,,,,,,,
Eurycea tonkawae,Jollyville Plateau Salamander,Wherever found,2,Threatened,Amphibians,Texas,,,,,,,,,,,,,,,,,
Prietella phreatophila,Mexican blindcat (catfish),Wherever found,Foreign,Endangered,Fishes,Texas,,,,,,,,,,,,,,,,,
Alligator mississippiensis,American alligator,Wherever found,4,Similarity of Appearance (Threatened),Reptiles,Texas,,,,,,,,,,,,,,,,,
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,Texas,,,,,,,,,,,,,,,,,
Caretta caretta,Loggerhead sea turtle,Northwest Atlantic Ocean DPS,4,Threatened,Reptiles,Texas,,,,,,,,,,,,,,,,,
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,Texas,,,,,,,,,,,,,,,,,
Hybognathus amarus,Rio Grande Silvery Minnow,"Rio Grande, from Little Box Canyon to Amistad Dam",2,"Experimental Population, Non-Essential",Fishes,Texas,,,,,,,,,,,,,,,,,
Grus americana,Whooping crane,U.S.A (Southwestern Louisiana),2,"Experimental Population, Non-Essential",Birds,Texas,,,,,,,,,,,,,,,,,
Chelonia mydas,Green sea turtle,North Atlantic DPS,4,Threatened,Reptiles,Texas,,,,,,,,,,,,,,,,,
Laterallus jamaicensis ssp. jamaicensis,Eastern Black rail,Wherever found,4,Threatened,Birds,Texas,,,,,,,,,,,,,,,,,
Glaucidium brasilianum cactorum,Cactus ferruginous pygmy-owl,Wherever found,2,Threatened,Birds,Texas,,,,,,,,,,,,,,,,,
Myotis sodalis,Indiana bat,Wherever found,3,Endangered,Mammals,Tennessee,,,,,,,,,,,,,,,,,
Myotis grisescens,Gray bat,Wherever found,3,Endangered,Mammals,Tennessee,,,,,,,,,,,,,,,,,
Corynorhinus (=Plecotus) townsendii virginianus,Virginia big-eared bat,Wherever found,5,Endangered,Mammals,Tennessee,,,,,,,,,,,,,,,,,
Glaucomys sabrinus coloratus,Carolina northern flying squirrel,Wherever found,4,Endangered,Mammals,Tennessee,,,,,,,,,,,,,,,,,
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,Tennessee,,,,,,,,,,,,,,,,,
Erimonax monachus,Spotfin Chub,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma boschungi,Slackwater darter,Wherever found,4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Erimystax cahni,Slender chub,Wherever found,4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Noturus flavipinnis,Yellowfin madtom,"Wherever found, except where listed as an experimental population",4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Noturus baileyi,Smoky madtom,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Noturus stanauli,Pygmy madtom,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Percina antesella,Amber darter,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Percina jenkinsi,Conasauga logperch,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Phoxinus cumberlandensis,Blackside dace,Wherever found,4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma wapiti,Boulder darter,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Percina aurolineata,Goldline darter,Wherever found,4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Cyprinella caerulea,Blue shiner,Wherever found,4,Threatened,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Scaphirhynchus albus,Pallid sturgeon,Wherever found,6,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma akatulo,bluemask darter,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Etheostoma percnurum,Duskytail darter,Wherever found,4,Endangered,Fishes,Tennessee,,,,,,,,,,,,,,,,,
Villosa trabalis,Cumberland bean (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Villosa perpurpurea,Purple bean,Wherever found,5,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Epioblasma obliquata,Purple Cat's paw (=Purple Cat's paw pearlymussel),Wherever found; Except where listed as Experimental Populations,3,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Lampsilis virescens,Alabama lampmussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Toxolasma cylindrellus,Pale lilliput (pearlymussel),Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Quadrula fragosa,Winged Mapleleaf,"Wherever found, except where listed as an experimental population",3,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Theliderma sparsa,Appalachian monkeyface (pearlymussel),Wherever found,5,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Theliderma intermedia,Cumberland monkeyface (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Lemiox rimosus,Birdwing pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Dromus dromas,Dromedary pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Pegias fabula,Littlewing pearlymussel,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Plethobasus cicatricosus,White wartyback (pearlymussel),Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Fusconaia cuneolus,Finerayed pigtoe,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Pleurobema plenum,Rough pigtoe,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Fusconaia cor,Shiny pigtoe,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Obovaria retusa,Ring pink (mussel),Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Potamilus capax,Fat pocketbook,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Quadrula cylindrica strigillata,Rough rabbitsfoot,Wherever found,5,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Epioblasma brevidens,Cumberlandian combshell,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Alasmidonta raveneliana,Appalachian elktoe,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Alasmidonta atropurpurea,Cumberland elktoe,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Epioblasma capsaeformis,Oyster mussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Hemistena lata,Cracking pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Cyprogenia stegaria,Fanshell,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Hamiota altilis,Finelined pocketbook,Wherever found,4,Threatened,Clams,Tennessee,,,,,,,,,,,,,,,,,
Pleuronaia gibber,Cumberland pigtoe,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Pleurobema perovatum,Ovate clubshell,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Pleurobema decisum,Southern clubshell,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Ptychobranchus greenii,Triangular Kidneyshell,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Medionidus acutissimus,Alabama moccasinshell,Wherever found,4,Threatened,Clams,Tennessee,,,,,,,,,,,,,,,,,
Medionidus parvulus,Coosa moccasinshell,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Pleurobema georgianum,Southern pigtoe,Wherever found,4,Endangered,Clams,Tennessee,,,,,,,,,,,,,,,,,
Anguispira picta,Painted snake coiled forest snail,Wherever found,4,Threatened,Snails,Tennessee,,,,,,,,,,,,,,,,,
Athearnia anthonyi,Anthony's riversnail,Wherever found; Except where listed as Experimental Populations,4,Endangered,Snails,Tennessee,,,,,,,,,,,,,,,,,
Marstonia ogmorhaphe,Royal marstonia (snail),Wherever found,4,Endangered,Snails,Tennessee,,,,,,,,,,,,,,,,,
Microhexura montivaga,Spruce-fir moss spider,Wherever found,4,Endangered,Arachnids,Tennessee,,,,,,,,,,,,,,,,,
Orconectes shoupi,Nashville crayfish,Wherever found,4,Endangered,Crustaceans,Tennessee,,,,,,,,,,,,,,,,,
Lesquerella perforata,Spring Creek bladderpod,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Apios priceana,Price''s potato-bean,,4,Threatened,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
Arabis perstellata,Braun's rock-cress,Wherever found,4,Endangered,Flowering Plants,Tennessee,,,,,,,,,,,,,,,,,
